Nr;key;Kurztitel;Langtitel;Zitiert nach:;Bde.;Verlinkt;Link vorhanden;Online abgeglichen;Digitalisat;Online-Zugriff;Geschichtsquellen.de;Arlima.net;Supplement;Band I;Band I,1;Band I,2;Band II;Band III;Band IV;Band V;Band VI;Band VII;Band VII,1;Band VII,2;Band VIII;Band IX;Band X;Band XI;Band XII;Band XIII;Band XIV;Band XV;Band XVI;Hinweis;;;;;;;;;;;;;;;
14;Baluze,_Miscellanea;Baluze, Miscellanea;Etienne Baluze, Miscellanea novo ordine digesta et non paucis ineditis monumentis opportunisque animadversionibus aucta, ed. Joannes Dominicus Mansi, 4 Bde., Paris 1761–1764.;;"II ; III";;X;X;;;;;;https://books.google.fr/books?id=BXFkAAAAcAAJ&printsec=frontcover&hl=de&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false;;;https://books.google.de/books?id=t3VaAAAAYAAJ&printsec=frontcover&hl=de&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false;https://books.google.de/books?id=PYFaAAAAYAAJ&printsec=frontcover&hl=de&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false;https://books.google.de/books?id=9IJaAAAAYAAJ&printsec=frontcover&hl=de&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Baluze,_Miscellaneorum_liber;Baluze, Miscellaneorum liber;Etienne Baluze, Miscellaneorum liber I–VII, hoc est collectio veterum monumentorum quae hactenus latuerant in variis codicibus ac bibliothecis, 7 Bde., Paris 1678–1715.;;"II ; V ; VI";;X;X;;;;;;https://books.google.fr/books?id=pi15TA6MxNUC;;;https://archive.org/details/bub_gb_moPrNwAKxvsC;https://archive.org/details/bub_gb_JUlNfITnnf0C;https://archive.org/details/bub_gb_5tUDTeOjwvwC;https://archive.org/details/bub_gb_np6pu5zrZBwC;https://archive.org/details/bub_gb_EZgKF0xpzOQC;https://archive.org/details/bub_gb_vKJ86G61JKMC;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Barlow,_The_Letters_of_Arnulf_of_Lisieux;Barlow, The Letters of Arnulf of Lisieux;The Letters of Arnul of Lisieux, ed. Frank Barlow, London 1939 (Camden Third Series, 61).;;;;X;X;https://archive.org/details/in.ernet.dli.2015.227200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Barthélemy,_Les_deux_âges;Barthélemy, Les deux âges;Dominique Barthélemy, Les deux âges de la seigneurie banale. Pouvoir et société dans la terre des sires de Coucy (milieu XIe–milieu XIIIe siècle), Paris 1984 (Publications de la Sorbonne. Série Histoire ancienne et médiévale, 12).;;;;X;X;https://books.openedition.org/psorbonne/23374?lang=de;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;de_Barthélemy,_Notice_historique_sur_la_maison_de_Grandpré;de Barthélemy, Notice historique sur la maison de Grandpré;Anatole de Barthélemy, Notice historique sur la maison de Grandpré, in: Revue de Champagne et de Brie 9 (1880), S. 97–105.;;;;X;X;https://gallica.bnf.fr/ark:/12148/bpt6k6565069m ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;Bautier,_Anne_de_Kiev;Bautier, Anne de Kiev;Robert-Henri Bautier, Anne de Kiev, reine de France, et la politique royale au XIe siècle: étude critique de la documentation, in: Revue des Études Slaves 57,4 (1985), S. 539–564 (ND in ders., Recherches sur l’histoire de la France médiévale. Des Mérovingiens aux premiers Capétiens, Aldershot 1991 [Variorum collected studies series, 351], Tl. X, S. 539–564).;;;;X;X;https://www.persee.fr/doc/slave_0080-2557_1985_num_57_4_5520;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;Bautier,_Recueil_Eudes;Bautier, Recueil Eudes;Recueil des actes d’Eudes, roi de France (888–898), ed. Robert-Henri Bautier, Paris 1967 (Chartes et diplômes relatifs à l’histoire de France, 11).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;Bautier,_Recueil_de_textes;Bautier, Recueil de textes;Robert-Henri Bautier, Un recueil de textes pour servir à la biographie de l’archevêque de Reims, Hervé (Xe siècle). Son attribution à Flodoard, in: Charles Edmond Perrin (Hg.), Mélanges d’histoire du Moyen Âge dédiés à la mémoire de Louis Halphen, Paris 1951, S. 1–6. ;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;Bautier-Gilles,_Chronique_de_Saint-Pierre-le-Vif_dite_de_Clarius;Bautier/Gilles, Chronique de Saint-Pierre-le-Vif dite de Clarius;Chronique de Saint-Pierre-le-Vif de Sens, dite de Clarius. Chronicon sancti Petri Vivi Senonensis, ed. Robert-Henri Bautier, Monique Gilles, Paris 1979 (Sources d’histoire médiévale, 12).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;Bautier-Labory,_Vie_d’Abbon;Bautier/Labory, Vie d’Abbon;Aimoin de Fleury, Vie d’Abbon, abbé de Fleury (Vita et passio Sancti Abbonis), ed. Robert-Henri Bautier, Gillette Labory, in: L’Abbaye de Fleury en l’an mil, Paris 2004 (Sources d’histoire médiévale, 32).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;Becker,_Studien;Becker, Studien;Alfons Becker, Studien zum Investiturproblem in Frankreich. Papsttum, Königtum und Episkopat im Zeitalter der gregorianischen Kirchenreform (1049–1119), Saarbrücken 1955 (Schriften der Universität des Saarlandes, 17).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;Becquet,_Bullaire_Grandmont;Becquet, Bullaire Grandmont;Jean Becquet, Le Bullaire de l’Ordre de Grandmont, in: Revue Mabillon 46 (1956), S. 82–93, 156–168, 189–201 (ND in: ders., Le Bullaire de l’Ordre de Grandmont. Extrait de la Revue Mabillon T. XLVI [1956] à LIII [1963], Ligué s. d.).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;Becquet,_Bullaire_Grandmont,_Addenda;Becquet, Bullaire Grandmont, Addenda;Jean Becquet, Le Bullaire de l’Ordre de Grandmont. Extrait de la Revue Mabillon T. XLVI [1956] à LIII [1963], Ligué s. d.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Becquet,_Scriptores_ordinis_Grandimontensis;Becquet, Scriptores ordinis Grandimontensis;Scriptores ordinis Grandimontensis, ed. Jean Becquet, Turnhout 1968 (Corpus Christianorum. Continuatio Mediaevalis, 8).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;Bell,_A_List_of_Original_Papal_Bulls;Bell, A List of Original Papal Bulls;Harold Idris Bell, A List of Original Papal Bulls and Briefs in the Department of Manuscripts, British Museum, in: The English Historical Review 36 (1921), S. 393–418, 556–582.;;;;(X);X;;;;;;https://www.jstor.org/stable/552470 ;;;https://www.jstor.org/stable/552586;;;;;;;;;;;;;;;;;JSTOR;;;;;;;;;;;;;;;
29;Benner,_Châlons-en-Champagne;Benner, Châlons-en-Champagne;Sonja Benner, Châlons-en-Champagne. Die Stadt, das Chorherrenstift Toussaint und das Umland bis zur Mitte des 14. Jahrhunderts, Trier 2003 (Trierer historische Forschungen, 55).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;Benton,_Der_Hof_von_Champagne;Benton, Der Hof von Champagne;John F. Benton, Der Hof von Champagne als literarisches Zentrum (1961), in: Joachim Bumke (Hg.), Literarisches Mäzenatentum. Ausgewählte Forschungen zur Rolle des Gönners und Auftraggebers in der mittelalterlichen Literatur, Darmstadt 1982 (Wege der Forschung, 58), S. 168–231.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;Berger,_Notes_sur_les_évêques_d’Arras;Berger, Notes sur les évêques d’Arras;Roger Berger, Notes sur les évêques d’Arras antérieurs à 1300, in: Bulletin de la commission départementale d’histoire et d’archéologie du Pas-de-Calais 9 (1973), S. 167–174.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Berger,_Registres;Berger, Registres;Les registres d’Innocent IV publiés ou analysés d’après les manuscrits originaux du Vatican et de la Bibliothèque nationale, ed. Elie Berger, 4 Bde., Paris 1881–1921 (Bibliothèque des Écoles Françaises d’Athènes et de Rome, 2/1). ;;I;;X;X;;;;;;https://books.google.fr/books?id=ulRUmyOcd9AC&printsec=frontcover&hl=de&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;Bernard-Bruel,_Recueil_Cluny;Bernard/Bruel, Recueil Cluny;Recueil des chartes de l’abbaye de Cluny, ed. Auguste Bernard, Alexandre Bruel, 6 Bde., Paris 1876–1904 (Collection de documents inédits sur l’histoire de France, 1).;;"IV ; V";;X;X;https://www.uni-muenster.de/Fruehmittelalter/Projekte/Cluny/BB-Facs.html ;;;;;;;;;;https://gallica.bnf.fr/ark:/12148/bpt6k289103;https://gallica.bnf.fr/ark:/12148/bpt6k28911f;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;Berton,_Courtenay_et_ses_anciens_seigneurs;Berton, Courtenay et ses anciens seigneurs;Augustin Berton, Courtenay et ses anciens seigneurs. Notes historiques, Paris 1999 (Monographies des villes et villages de France, 1755).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;BHL;BHL;Bibliotheca hagiographica latina antiquae et mediae aetatis, 2 Bde., Bruxelles 1898–1901 (Subsidia hagiographica, 6);;;;X;X;;;;;https://gallica.bnf.fr/ark:/12148/bpt6k5455331g;https://gallica.bnf.fr/ark:/12148/bpt6k5455993n;;;https://gallica.bnf.fr/ark:/12148/bpt6k54552470;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;Billiet-Albrieux,_Chartes_Maurienne;Billiet/Albrieux, Chartes Maurienne;Chartes du diocèse de Maurienne, ed. Alexis Billiet, Joseph Albrieux, Chambéry 1861 (Documents. Académie des Sciences, Belles-Lettres et Arts de Savoie, 2).;;;;X;X;http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10536197-4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;Binius,_Concilia_III,2;Binius, Concilia III,2;Concilia generalia, et provincialia, quaecunque reperiri potuerunt omnia. Item epistolae decretales, et Romanorum Pontificum vitae, ed. Severin Binius, Bd. 3,2, Köln 1606.;;;;X;X;https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10321856-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;Binius,_Concilia_III,2_2._erw._Aufl.;Binius, Concilia III,2 (2. erw. Aufl.);Concilia generalia, et provincialia, quaecunque reperiri potuerunt omnia. Item epistolae decretales, et Romanorum Pontificum vitae, ed. Severin Binius, Bd. 3,2, 2. erw. Aufl., Köln 1618.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;Bischoff,_Vagantenlieder_aus_der_Vaticana;Bischoff, Vagantenlieder aus der Vaticana;Bernhard Bischoff, Vagantenlieder aus der Vaticana, in: Zeitschrift für romanische Philologie 50 (1930), S. 76–97.;;;;X;X;https://gallica.bnf.fr/ark:/12148/bpt6k15900v/f82.item;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;Bled,_Régestes;Bled, Régestes;Régestes des évêques de Thérouane 500–1553, ed. Oscar Bled, Saint-Omer 1904.;;;;X;X;;;;;;https://gallica.bnf.fr/ark:/12148/bpt6k9753940f;;;https://gallica.bnf.fr/ark:/12148/bpt6k9754360f;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;Blommaert,_Robert_d’Aire;Blommaert, Robert d’Aire;Willem Blommaert, Robert d’Aire. Chancelier de Flandre, in: Handelingen der Maatschappij van Geschied- en Oudheidkunde te Gent 8 (1907–1908), S. 264–287.;;;;X;X;https://docplayer.fr/88473765-Handelingen-drr-maatschappij-te-gent-ann-ales-de-i-a-de-gand-robert-d-aire-chancelier-deflandre.html ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;Böhmer-Baaken-Schmidt,_RI_IV,4,4,1;Böhmer/Baaken/Schmidt, RI IV,4,4,1;Regesta Imperii IV. Lothar III. und ältere Staufer 1125–1197, 4. Abt.: Papstregesten 1124–1198, Tl. 4, Lfg. 1: 1181–1184, ed. Johann Friedrich Böhmer, Katrin Baaken, Ulrich Schmidt, Köln 2003.;;;;X;X;http://nbn-resolving.de/urn:nbn:de:bvb:12-bsb00009298-4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;Böhmer-Baaken-Schmidt,_RI_IV,4,4,2;Böhmer/Baaken/Schmidt, RI IV,4,4,2;Regesta Imperii IV. Lothar III. und ältere Staufer 1125–1197, 4. Abt.: Papstregesten 1124–1198, Tl. 4, Lfg. 2: 1184–1185, ed. Johann Friedrich Böhmer, Katrin Baaken, Ulrich Schmidt, Köln 2006.;;;;X;X;http://www.regesta-imperii.de/fileadmin/user_upload/downloads/RI_IV_4_4_2_ms.pdf ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;Böhmer-Fees,_RI_I,2,1;Böhmer/Fees, RI I,2,1;Regesta Imperii I. Die Regesten des Kaiserreichs unter den Karolingern 751–918 (987), Bd. 2: Die Regesten des Westfrankenreichs und Aquitaniens, Tl. 1: Die Regesten Karls des Kahlen 840 (823)–877, Lfg. 1: 840 (823)–848, ed. Johann Friedrich Böhmer, Irmgard Fees, Köln 2007.;;;;X;X;http://www.regesta-imperii.de/fileadmin/user_upload/downloads/RI_I_2_1_ms.pdf ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;Böhmer-Frech,_RI_III,5,2;Böhmer/Frech, RI III,5,2;Regesta Imperii III. Salisches Haus 1024–1125, 5. Abt.: Papstregesten 1024–1058. Lfg. 2: 1046–1058, ed. Johann Friedrich Böhmer, Karl Augustin Frech, Köln 2011.;;;;X;X;http://www.regesta-imperii.de/fileadmin/user_upload/downloads/RI_III_5_2_ms.pdf ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;Böhmer-Herbers,_RI_I,4,2,1;Böhmer/Herbers, RI I,4,2,1;Regesta Imperii I. Die Regesten des Kaiserreichs unter den Karolingern 751–918 (926/962), Bd. 4: Papstregesten, 800–911, Tl. 2: 844–872, Lfg. 1: 844–858, ed. Johann Friedrich Böhmer, Klaus Herbers, Köln 1999.;;;;X;X;http://nbn-resolving.de/urn:nbn:de:bvb:12-bsb00009232-4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;Böhmer-Herbers,_RI_I,4,2,2;Böhmer/Herbers, RI I,4,2,2;Regesta Imperii I. Die Regesten des Kaiserreichs unter den Karolingern 751–918 (926/962), Bd. 4: Papstregesten, 800–911, Tl. 2: 844–872, Lfg. 2: 858–867, ed. Johann Friedrich Böhmer, Klaus Herbers, Wien, Köln, Weimar 2012.;;;;X;X;http://www.regesta-imperii.de/fileadmin/user_upload/downloads/RI_I_4_2_2.pdf ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;Böhmer-Herbers,_RI_I,4,2,3;Böhmer/Herbers, RI I,4,2,3;Regesta Imperii I. Die Regesten des Kaiserreichs unter den Karolingern 751–918 (926/962), Bd. 4: Papstregesten, 800–911, Tl. 2: 844–872, Lfg. 3: 867–872, ed. Johann Friedrich Böhmer, Klaus Herbers, Köln, Weimar, Wien 2021.;;;;X;X;http://www.regesta-imperii.de/fileadmin/user_upload/downloads/RI_I_4_2_3.pdf ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;Böhmer-Lubich,_RI_III,2,3,3;Böhmer/Lubich, RI III,2,3,3;Regesta Imperii III. Salisches Haus 1024–1125, Tl. 2: 1056–1125, 3. Abt.: Die Regesten des Kaiserreichs unter Heinrich IV. 1056 (1050)–1106, Lfg. 3: 1076–1085, ed. Johann Friedrich Böhmer, Gerhard Lubich, Köln 2016.;;;;X;X;http://www.regesta-imperii.de/fileadmin/user_upload/downloads/RI_III_2_3_3.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;Böhmer-Mühlbacher,_RI_I;Böhmer/Mühlbacher, RI I;Regesta Imperii I. Die Regesten des Kaiserreichs unter den Karolingern 751–918, ed. Johann Friedrich Böhmer, Engelbert Mühlbacher, Johann Lechner, 2. Aufl., Innsbruck 1908.;;;;X;X;http://nbn-resolving.de/urn:nbn:de:bvb:12-bsb00009516-1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;Böhmer-Oppl,_RI_IV,2,3;Böhmer/Oppl, RI IV,2,3;Regesta Imperii IV. Lothar III. und ältere Staufer 1125–1197, 2. Abt.: Die Regesten des Kaiserreichs unter Friedrich I. 1152 (1122)–1190. Lfg. 3: 1168–1180, ed. Johann Friedrich Böhmer, Ferdinand Oppl, Wien 2001.;;;;X;X;http://nbn-resolving.de/urn:nbn:de:bvb:12-bsb00009299-4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;Böhmer-Ottenthal,_RI_II,1;Böhmer/Ottenthal, RI II,1;Regesta Imperii II. Die Regesten des Kaiserreichs unter den Herrschern aus dem Sächsischen Hause 919–1024, 1. Abt.: Die Regesten des Kaiserreichs unter Heinrich I. und Otto I. 919–973, ed. Johann Friedrich Böhmer, Emil von Ottenthal, Innsbruck 1893.;;;;X;X;https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00009237-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;Böhmer-Petke,_RI_IV,1,1;Böhmer/Petke, RI IV,1,1;Regesta Imperii IV. Lothar III. und ältere Staufer 1125–1197, 1. Abt.: Die Regesten des Kaissereichs unter Lothar III. und Konrad III, Tl. 1: Lothar III. 1125 (1075)–1137, ed. Johann Friedrich Böhmer, Wolfgang Petke, Köln 1994. ;;;;X;X;http://nbn-resolving.de/urn:nbn:de:bvb:12-bsb00009247-7 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;Böhmer-Schmidt,_RI_IV,4,4,3;Böhmer/Schmidt, RI IV,4,4,3;Regesta Imperii IV. Lothar III. und ältere Staufer 1125–1197, 4. Abt.: Papstregesten 1124–1198, Tl. 4, Lfg. 3: 1185–1187, Urban III. und Gregor VIII., ed. Johann Friedrich Böhmer, Ulrich Schmidt, Köln 2012.;;;;X;X;http://www.regesta-imperii.de/fileadmin/user_upload/downloads/RI_IV_4_4_3_ms.pdf ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;Böhmer-Schmidt,_RI_IV,4,4,4;Böhmer/Schmidt, RI IV,4,4,4;Regesta Imperii IV. Lothar III. und ältere Staufer 1125–1197, 4. Abt.: Papstregesten 1124–1198, Tl. 4, Lfg. 4: 1187–1191, Clemens III., ed. Johann Friedrich Böhmer, Ulrich Schmidt, Köln 2014.;;;;X;X;http://www.regesta-imperii.de/fileadmin/user_upload/downloads/RI_IV_4_4_4_ms.pdf ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;Böhmer-Schmidt,_RI_IV,4,4,5;Böhmer/Schmidt, RI IV,4,4,5;Regesta Imperii IV. Lothar III. und ältere Staufer 1125–1197, 4. Abt.: Papstregesten 1124–1198, Tl. 4, Lfg. 5: 1191–1195, Cölestin III., ed. Johann Friedrich Böhmer, Ulrich Schmidt, Köln 2018.;;;;X;X;http://www.regesta-imperii.de/fileadmin/user_upload/downloads/RI_IV_4_4_5.pdf ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;Böhmer-Uhlirz,_RI_II,3;Böhmer/Uhlirz, RI II,3;Regesta Imperii II. Sächsisches Haus 919–1024, 3. Abt.: Die Regesten des Kaiserreichs unter Otto III., ed. Johann Friedrich Böhmer, Mathilde Uhrliz, Wien 1956.;;;;X;X;http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00009238-7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;Böhmer-Unger,_RI_I,4,3;Böhmer/Unger, RI I,4,3;Regesta Imperii I. Die Regesten des Kaiserreichs unter den Karolingern 751–918 (926/962), Bd. 4: Papstregesten, 800–911, Tl. 3: 872–882, ed. Johann Friedrich Böhmer, Veronika Unger, Wien 2013.;;;;X;X;http://www.regesta-imperii.de/fileadmin/user_upload/downloads/RI_I_4_3_ms.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;Böhmer-Will,_Regesta_archiepiscoporum_Maguntinensium_II;Böhmer/Will, Regesta archiepiscoporum Maguntinensium II;Regesta archiepiscoporum Maguntinensium. Regesten zur Geschichte der Mainzer Erzbischöfe von Bonifatius bis Heinrich II. 742?–1288, Bd. 2: Von Konrad I. bis Heinrich II. 1161–1288, ed. Johann Friedrich Böhmer, Cornelius Will, Innsbruck 1886.;;;;X;X;http://hdl.handle.net/2027/nnc1.0043888569 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
