key;Kurztitel;Kurztitel der Editionen;Geschichtsquellen.de;Arlima.net;Quellen;Langtitel;Bde.;Verlinkt;Link;Band I;Band II;Band III;Band IV;Band V;Band VI
Gesta_episcoporum_Cameracensium;Gesta episcoporum Cameracensium;MGH SS 7;https://www.geschichtsquellen.de/werk/2479 ;;X;;;;;;;;;;
Gesta_Galcheri_episcopi_Cameracensis;Gesta Galcheri episcopi Cameracensis;MGH SS 14;;;X;;;;;;;;;;
Gesta_regis_Henrici_secundi_Benedicti_abbatis;Gesta regis Henrici secundi Benedicti abbatis;Stubbs, Chronicle;;;X;;;;;;;;;;
Gislebert_von_Mons,_Chronicon_Hanoniense;Gislebert von Mons, Chronicon Hanoniense;Vanderkindere, Chronique de Gislebert de Mons;https://www.geschichtsquellen.de/werk/4877 ;;X;;;;;;;;;;
Guibert_von_Nogent,_De_vita_sua;Guibert von Nogent, De vita sua;Labande, Guibert de Nogent, Autobiographie;;https://arlima.net/no/286;X;;;;;;;;;;
Hermann_von_Tournai,_De_miraculis_Sanctae_Mariae_Laudunensis;Hermann von Tournai, De miraculis Sanctae Mariae Laudunensis;"Migne, PL 156; Saint-Denis, Les miracles";;https://arlima.net/no/1357 ;X;;;;;;;;;;
Hermann_von_Tournai,_De_restauratione;Hermann von Tournai, De restauratione;"MGH, SS 14; Huygens, Liber de restavratione";;https://arlima.net/no/1357 ;X;;;;;;;;;;
Hesso_scholasticus,_Relatio_de_concilio_Remensi;Hesso scholasticus, Relatio de concilio Remensi;MGH Ldl 3;https://www.geschichtsquellen.de/werk/2802 ;;X;;;;;;;;;;
Hincmar,_De_iure_metropolitanorum;Hincmar, De iure metropolitanorum;Schrör, Hinkmar von Reims;https://www.geschichtsquellen.de/werk/2847 ;;X;;;;;;;;;;
Hincmar,_De_praedestinatione;Hincmar, De praedestinatione;Migne, PL 125;https://www.geschichtsquellen.de/werk/2851 ;;X;;;;;;;;;;
Hincmar,_Libellus_expostulationis;Hincmar, Libellus expostulationis;MGH Conc. 4;https://www.geschichtsquellen.de/werk/2867 ;;X;;;;;;;;;;
Hincmar,_Opusculum_LV_capitulorum;Hincmar, Opusculum LV capitulorum;MGH Conc. 4, Suppl. 2;https://www.geschichtsquellen.de/werk/2864 ;;X;;;;;;;;;;
Hincmar,_Vita_S._Remigii;Hincmar, Vita S. Remigii;MGH SS rer. Merov. 3;https://www.geschichtsquellen.de/werk/2869 ;;X;;;;;;;;;;
Historia_monasterii_Mosomensis;Historia monasterii Mosomensis;"MGH SS 14; Bur, Chronique";;;X;;;;;;;;;;
Hugo_Cantor,_History_of_four_archbishops_of_York;Hugo Cantor, History of four archbishops of York;"Raine, The Historians of the Church of York; Johnson, Hugh the Chanter, The History of the Church of York";;;X;;;;;;;;;;
Hugo_von_Flavigny,_Chronicon_Virdunense;Hugo von Flavigny, Chronicon Virdunense;MGH SS 8;https://www.geschichtsquellen.de/werk/2946 ;;X;;;;;;;;;;
Johannes_Longus,_Chronicon_monasterii_Sancti_Bertini;Johannes Longus, Chronicon monasterii Sancti Bertini;MGH SS 13;;https://arlima.net/no/159;X;;;;;;;;;;
John_von_Salisbury,_Historia_Pontificalis;John von Salisbury, Historia Pontificalis;"MGH SS 20; Chibnall, Memoirs of the Papal Court";;;X;;;;;;;;;;
Lambertus_Waterlos,_Annales_Cameracenses;Lambertus Waterlos, Annales Cameracenses;MGH SS 16;https://www.geschichtsquellen.de/werk/3250 ;;X;;;;;;;;;;
Laurentius_de_Leodio,_Gesta_episcoporum_Virdunensium;Laurentius de Leodio, Gesta episcoporum Virdunensium;MGH SS 10;https://www.geschichtsquellen.de/werk/3278 ;;X;;;;;;;;;;
Libellus_Artoldi;Libellus Artoldi;MGH Conc. 6,1;https://www.geschichtsquellen.de/werk/1387 ;;X;;;;;;;;;;
Libellus_Theodorici_Cameracensis;Libellus Theodorici Cameracensis;MGH Conc. 3;;;X;;;;;;;;;;
Narratio_clericorum_Remensium;Narratio clericorum Remensium;MGH Conc. 2,2;https://www.geschichtsquellen.de/werk/3580 ;;X;;;;;;;;;;
Ordericus_Vitalis,_Historia_ecclesiastica;Ordericus Vitalis, Historia ecclesiastica;"Le Prévost, Orderici Vitalis Historiae; Chibnall, The Ecclesiastical History";;https://arlima.net/no/1763;X;;;;;;;;;;
Otto_von_Freising,_Gesta_Friderici_imperatoris;Otto von Freising, Gesta Friderici imperatoris;"MGH SS rer. Germ. 46; Schmale, Otto von Freisingen und Rahewin, Taten Friedrichs";https://www.geschichtsquellen.de/werk/3859 ;;X;;;;;;;;;;
Radulfus_de_Diceto,_Ymagines_historiarum;Radulfus de Diceto, Ymagines historiarum;Stubbs, Historical Works;;;X;;;;;;;;;;
Regino_von_Prüm,_Chronicon;Regino von Prüm, Chronicon;MGH SS rer. Germ. 50;https://www.geschichtsquellen.de/werk/4124 ;;X;;;;;;;;;;
Regino_von_Prüm,_Libri_duo_de_synodalibus_causis;Regino von Prüm, Libri duo de synodalibus causis;"Wasserschleben, Reginonis abbatis Prumensis Libri duo; Hartmann, Sendhandbuch";https://www.geschichtsquellen.de/werk/4125 ;;X;;;;;;;;;;
Register_Gregors_VII.;Register Gregors VII.;"MGH Epp. sel. 2,1; MGH Epp. sel. 2,2; (z. T. JL vorangestellt!)";https://www.geschichtsquellen.de/werk/2540 ;;X;;;;;;;;;;
Revelatio_beati_Stephani;Revelatio beati Stephani;Becquet, Scriptores ordinis Grandimontensis;;;X;;;;;;;;;;
Richer,_Historiae;Richer, Historiae;MGH SS 38;https://www.geschichtsquellen.de/werk/4200 ;;X;;;;;;;;;;
Rimbert,_Vita_S._Anskarii;Rimbert, Vita S. Anskarii;MGH SS rer. Germ. 55;https://www.geschichtsquellen.de/werk/4204 ;;X;;;;;;;;;;
Romuald_von_Salerno,_Annales;Romuald von Salerno, Annales;MGH SS 19;https://www.geschichtsquellen.de/werk/4214 ;;X;;;;;;;;;;
Series_abbatum_Flaviniacensium;Series abbatum Flaviniacensium;MGH SS 8;https://www.geschichtsquellen.de/werk/2947 ;;X;;;;;;;;;;
Sigebert_von_Gembloux,_Chronica;Sigebert von Gembloux, Chronica;MGH SS 6;https://www.geschichtsquellen.de/werk/4366 ;;X;;;;;;;;;;
Suger,_Vita_Ludovici;Suger, Vita Ludovici;Waquet, Vie de Louis VI le Gros;;;X;;;;;;;;;;
Vita_Alberti_episcopi_Leodiensis;Vita Alberti episcopi Leodiensis;MGH SS 25;;;X;;;;;;;;;;
Vita_Papst_Paschalis’_I.;Vita Papst Paschalis’ I.;Duchesne, Liber Pontificalis;;;X;;;;;;;;;;
Vita_Rigoberti;Vita Rigoberti;MGH SS rer. Merov. 7;;;X;;;;;;;;;;
Vita_Sergii;Vita Sergii;Duchesne, Liber Pontificalis;;;X;;;;;;;;;;
Vita_Theogeri_Abbatis_Georgii_et_Episcopi_Mettensis;Vita Theogeri Abbatis Georgii et Episcopi Mettensis;MGH SS 12;https://www.geschichtsquellen.de/werk/4774 ;;X;;;;;;;;;;
d’Achéry,_Guiberti_opera;d’Achéry, Guiberti opera;;;;;Venerabilis Guiberti Abbatis B. Mariae de Novigento opera omnia, ed. Lucas d’Achery, Paris 1651.;;;http://books.google.com/books?id=l3ye7fi3TI4C ;;;;;;
d’Achéry,_Spicilegium;d’Achéry, Spicilegium;;;;;Spicilegium sive collectio veterum aliquot scriptorum qui in Galliae Bibliothecis delituerant, ed. Lucas d’Achéry, 13 Bde., Paris 1655–1677.;"III ; V";;;;;;;;
d’Achéry,_Spicilegium_(2._Aufl.);d’Achéry, Spicilegium (2. Aufl.);;;;;Spicilegium sive collectio veterum aliquot scriptorum qui in Galliae Bibliothecis delituerant, ed. Lucas d’Achéry, Ludovicus Franciscus Joseph de la Barre, 3 Bde., Paris 1723.;III;X;;;;https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb11439764-0;;;
Acta_Sanctorum;Acta Sanctorum;;;;;Acta Sanctorum Februarii II (7-16), ed. Jean Bolland, Godfried Henschen, Antwerpen 1658.;V;X;https://gallica.bnf.fr/ark:/12148/bpt6k60287/f1.item ;;;;;;
Adolfsson,_Liber_epistularum_Guidonis_de_Basochis;Adolfsson, Liber epistularum Guidonis de Basochis;;;;;Liber epistularum Guidonis de Basochis, ed. Herbert Adolfsson, Stockholm 1969 (Acta Universitatis Stockholmiensis. Studia latina Stockholmiensia, 18).;;;;;;;;;
Alberigo-Melloni,_Conciliorum_oecumenicorum_decreta;Alberigo/Melloni, Conciliorum oecumenicorum decreta;;;;;Conciliorum oecumenicorum generaliumque decreta, Bd. 2: The General Councils of Latin Christendom, Tl. 1: From Constantinople IV to Pavia-Siena (869–1424), Tl. 2: From Basem to Lateran V (1431–1517), ed. Giuseppe Alberigo, Alberto Melloni, Turnhout 2006 (Corpus Christianorum Conciliorum Oecumenicorum Genereliumque Decreta, 2).;II;;;;;;;;
Anglia_pontificia._Subsidia;Anglia pontificia. Subsidia;;;;;Anglia Pontificia. Subsidia 1: Collectiones epistolarum, ed. Rudolf Hiestand, Stefan Hirschmann, Göttingen 2011 (Regesta Pontificia Romanorum).;I;;;;;;;;
Aposcripta;Aposcripta;;;;;Aposcripta database. Lettres des papes, ed. Julien Théry, Orléans, 2017 (TELMA), URL: http://telma-chartes.irht.cnrs.fr/aposcripta.;;;;;;;;;
d’Arbois_de_Jubainville,_Histoire;d’Arbois de Jubainville, Histoire;;;;;Henry d’Arbois de Jubainville, Histoire des ducs et des comtes de Champagne depuis le Ve siècle jusqu’à la fin du Xe siècle, 7 Bde., Paris 1859–1869.;III;;;;;;;;
Assmann,_Friedrich_Barbarossas_Kinder;Assmann, Friedrich Barbarossas Kinder;;;;;Erwin Assmann, Friedrich Barbarossas Kinder, in: Deutsches Archiv 33 (1977), S. 435–472.;;;http://www.digizeitschriften.de/dms/resolveppn/?PID=GDZPPN000357243 ;;;;;;
Augustin,_Opera_Omnia;Augustin, Opera Omnia;;;;;Antonii Augustini archiepiscopi Tarraconensis opera omnia quae multa adhibita diligentia colligi potuerunt, 8 Bde., Luccae 1765–1774.;IV;;https://babel.hathitrust.org/cgi/pt?id=ucm.531906006x&view=1up&seq=7&skin=2021 ;;;;;;
Avril,_L’évolution_du_synode_diocésain;Avril, L’évolution du synode diocésain;;;;;Joseph Avril, L’évolution du synode diocésain, principalement dans la France du Nord, du Xe au XIIIe siècle, in: Peter A. Linehan (Hg.), Proceedings of the Seventh International Congress of Medieval Canon Law. Cambridge, 23–27 July 1984, Vatikanstadt 1988 (Monumenta iuris canonici, C/8), S. 305–325.;;;;;;;;;
Baaken,_Altersfolge_der_Söhne_Friedrich_Barbarossas;Baaken, Altersfolge der Söhne Friedrich Barbarossas;;;;;Gerhard Baaken, Die Altersfolge der Söhne Friedrich Barbarossas und die Königserhebung Heinrichs VI., in: Deutsches Archiv 24 (1968), S. 46–78 (ND in: ders., Imperium und Papsttum. Zur Geschichte des 12. und 13. Jahrhunderts. Festschrift zum 70. Geburtstag, hg. von Karl Augustin Frech, Ulrich Schmidt, Köln 1997, S. 1–30).;;;http://www.digizeitschriften.de/main/dms/img/?PPN=PPN345858735_0024&DMDID=dmdlog19 ;;;;;;
Baluze,_Miscellanea;Baluze, Miscellanea;;;;;Etienne Baluze, Miscellanea novo ordine digesta et non paucis ineditis monumentis opportunisque animadversionibus aucta, ed. Joannes Dominicus Mansi, 4 Bde., Paris 1761–1764.;"II ; III";;;;http://books.google.de/books?id=t3VaAAAAYAAJ&printsec;http://books.google.de/books?id=PYFaAAAAYAAJ&printsec;;;
;;;;;;;;;;;;;;;
Baluze,_Miscellaneorum_liber;Baluze, Miscellaneorum liber;;;;;Etienne Baluze, Miscellaneorum liber I–VII, hoc est collectio veterum monumentorum quae hactenus latuerant in variis codicibus ac bibliothecis, 7 Bde., Paris 1678–1715.;"II ; V ; VI";;;;;;;;
Barlow,_The_Letters_of_Arnulf_of_Lisieux;Barlow, The Letters of Arnulf of Lisieux;;;;;The Letters of Arnul of Lisieux, ed. Frank Barlow, London 1939 (Camden Third Series, 61).;;;;;;;;;
Barthélemy,_Les_deux_âges;Barthélemy, Les deux âges;;;;;Dominique Barthélemy, Les deux âges de la seigneurie banale. Pouvoir et société dans la terre des sires de Coucy (milieu XIe–milieu XIIIe siècle), Paris 1984 (Publications de la Sorbonne. Série Histoire ancienne et médiévale, 12).;;;;;;;;;
de_Barthélemy,_Notice_historique_sur_la_maison_de_Grandpré;de Barthélemy, Notice historique sur la maison de Grandpré;;;;;Anatole de Barthélemy, Notice historique sur la maison de Grandpré, in: Revue de Champagne et de Brie 9 (1880), S. 97–105.;;X;https://gallica.bnf.fr/ark:/12148/bpt6k6565069m ;;;;;;
Bautier,_Anne_de_Kiev;Bautier, Anne de Kiev;;;;;Robert-Henri Bautier, Anne de Kiev, reine de France, et la politique royale au XIe siècle: étude critique de la documentation, in: Revue des Études Slaves 57,4 (1985), S. 539–564 (ND in ders., Recherches sur l’histoire de la France médiévale. Des Mérovingiens aux premiers Capétiens, Aldershot 1991 [Variorum collected studies series, 351], Tl. X, S. 539–564).;;;;;;;;;
Bautier,_Recueil_Eudes;Bautier, Recueil Eudes;;;;;Recueil des actes d’Eudes, roi de France (888–898), ed. Robert-Henri Bautier, Paris 1967 (Chartes et diplômes relatifs à l’histoire de France, 11).;;;;;;;;;
Bautier,_Recueil_de_textes;Bautier, Recueil de textes;;;;;Robert-Henri Bautier, Un recueil de textes pour servir à la biographie de l’archevêque de Reims, Hervé (Xe siècle). Son attribution à Flodoard, in: Charles Edmond Perrin (Hg.), Mélanges d’histoire du Moyen Âge dédiés à la mémoire de Louis Halphen, Paris 1951, S. 1–6. ;;;;;;;;;
Bautier-Gilles,_Chronique_de_Saint-Pierre-le-Vif_dite_de_Clarius;Bautier/Gilles, Chronique de Saint-Pierre-le-Vif dite de Clarius;;;;;Chronique de Saint-Pierre-le-Vif de Sens, dite de Clarius. Chronicon sancti Petri Vivi Senonensis, ed. Robert-Henri Bautier, Monique Gilles, Paris 1979 (Sources d’histoire médiévale, 12).;;;;;;;;;
Bautier-Labory,_Vie_d’Abbon;Bautier/Labory, Vie d’Abbon;;;;;Aimoin de Fleury, Vie d’Abbon, abbé de Fleury (Vita et passio Sancti Abbonis), ed. Robert-Henri Bautier, Gillette Labory, in: L’Abbaye de Fleury en l’an mil, Paris 2004 (Sources d’histoire médiévale, 32).;;;;;;;;;
Becker,_Studien;Becker, Studien;;;;;Alfons Becker, Studien zum Investiturproblem in Frankreich. Papsttum, Königtum und Episkopat im Zeitalter der gregorianischen Kirchenreform (1049–1119), Saarbrücken 1955 (Schriften der Universität des Saarlandes, 17).;;;;;;;;;
Becquet,_Bullaire_Grandmont;Becquet, Bullaire Grandmont;;;;;Jean Becquet, Le Bullaire de l’Ordre de Grandmont, in: Revue Mabillon 46 (1956), S. 82–93, 156–168, 189–201 (ND in: ders., Le Bullaire de l’Ordre de Grandmont. Extrait de la Revue Mabillon T. XLVI [1956] à LIII [1963], Ligué s. d.).;;;;;;;;;
Becquet,_Bullaire_Grandmont,_Addenda;Becquet, Bullaire Grandmont, Addenda;;;;;Jean Becquet, Le Bullaire de l’Ordre de Grandmont. Extrait de la Revue Mabillon T. XLVI [1956] à LIII [1963], Ligué s. d.;;;;;;;;;
Becquet,_Scriptores_ordinis_Grandimontensis;Becquet, Scriptores ordinis Grandimontensis;;;;;Scriptores ordinis Grandimontensis, ed. Jean Becquet, Turnhout 1968 (Corpus Christianorum. Continuatio Mediaevalis, 8).;;;;;;;;;
Bell,_A_List_of_Original_Papal_Bulls;Bell, A List of Original Papal Bulls;;;;;Harold Idris Bell, A List of Original Papal Bulls and Briefs in the Department of Manuscripts, British Museum, in: The English Historical Review 36 (1921), S. 393–418, 556–582.;;;;;;;;;
Benner,_Châlons-en-Champagne;Benner, Châlons-en-Champagne;;;;;Sonja Benner, Châlons-en-Champagne. Die Stadt, das Chorherrenstift Toussaint und das Umland bis zur Mitte des 14. Jahrhunderts, Trier 2003 (Trierer historische Forschungen, 55).;;;;;;;;;
Benton,_Der_Hof_von_Champagne;Benton, Der Hof von Champagne;;;;;John F. Benton, Der Hof von Champagne als literarisches Zentrum (1961), in: Joachim Bumke (Hg.), Literarisches Mäzenatentum. Ausgewählte Forschungen zur Rolle des Gönners und Auftraggebers in der mittelalterlichen Literatur, Darmstadt 1982 (Wege der Forschung, 58), S. 168–231.;;;;;;;;;
Berger,_Notes_sur_les_évêques_d’Arras;Berger, Notes sur les évêques d’Arras;;;;;Roger Berger, Notes sur les évêques d’Arras antérieurs à 1300, in: Bulletin de la commission départementale d’histoire et d’archéologie du Pas-de-Calais 9 (1973), S. 167–174.;;;;;;;;;
Berger,_Registres;Berger, Registres;;;;;Les registres d’Innocent IV publiés ou analysés d’après les manuscrits originaux du Vatican et de la Bibliothèque nationale, ed. Elie Berger, 4 Bde., Paris 1881–1921 (Bibliothèque des Écoles Françaises d’Athènes et de Rome, 2/1). ;I;;;;;;;;
Bernard-Bruel,_Recueil_Cluny;Bernard/Bruel, Recueil Cluny;;;;;Recueil des chartes de l’abbaye de Cluny, ed. Auguste Bernard, Alexandre Bruel, 6 Bde., Paris 1876–1904 (Collection de documents inédits sur l’histoire de France, 1).;"IV ; V";;https://www.uni-muenster.de/Fruehmittelalter/Projekte/Cluny/BB-Facs.html ;;;;;;
Berton,_Courtenay_et_ses_anciens_seigneurs;Berton, Courtenay et ses anciens seigneurs;;;;;Augustin Berton, Courtenay et ses anciens seigneurs. Notes historiques, Paris 1999 (Monographies des villes et villages de France, 1755).;;;;;;;;;
Billiet-Albrieux,_Chartes_Maurienne;Billiet/Albrieux, Chartes Maurienne;;;;;Chartes du diocèse de Maurienne, ed. Alexis Billiet, Joseph Albrieux, Chambéry 1861 (Documents. Académie des Sciences, Belles-Lettres et Arts de Savoie, 2).;;;http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10536197-4 ;;;;;;
Binius,_Concilia_III,2;Binius, Concilia III,2;;;;;Concilia generalia, et provincialia, quaecunque reperiri potuerunt omnia. Item epistolae decretales, et Romanorum Pontificum vitae, ed. Severin Binius, Bd. 3,2, Köln 1606.;;;https://www.digitale-sammlungen.de/de/view/bsb10321856?page=7 ;;;;;;
Binius,_Concilia_III,2_(2._erw._Aufl.);Binius, Concilia III,2 (2. erw. Aufl.);;;;;Concilia generalia, et provincialia, quaecunque reperiri potuerunt omnia. Item epistolae decretales, et Romanorum Pontificum vitae, ed. Severin Binius, Bd. 3,2, 2. erw. Aufl., Köln 1618.;;;;;;;;;
Bischoff,_Vagantenlieder_aus_der_Vaticana;Bischoff, Vagantenlieder aus der Vaticana;;;;;Bernhard Bischoff, Vagantenlieder aus der Vaticana, in: Zeitschrift für romanische Philologie 50 (1930), S. 76–97.;;;;;;;;;
Bled,_Régestes;Bled, Régestes;;;;;Régestes des évêques de Thérouane 500–1553, ed. Oscar Bled, Saint-Omer 1904.;;X;;https://gallica.bnf.fr/ark:/12148/bpt6k9753940f;https://gallica.bnf.fr/ark:/12148/bpt6k9754360f;;;;
Blommaert,_Robert_d’Aire;Blommaert, Robert d’Aire;;;;;Willem Blommaert, Robert d’Aire. Chancelier de Flandre, in: Handelingen der Maatschappij van Geschied- en Oudheidkunde te Gent 8 (1907–1908), S. 264–287.;;;https://docplayer.fr/88473765-Handelingen-drr-maatschappij-te-gent-ann-ales-de-i-a-de-gand-robert-d-aire-chancelier-deflandre.html ;;;;;;
Böhmer-Baaken-Schmidt,_RI_IV,4,4,1;Böhmer/Baaken/Schmidt, RI IV,4,4,1;;;;;Regesta Imperii IV. Lothar III. und ältere Staufer 1125–1197, 4. Abt.: Papstregesten 1124–1198, Tl. 4, Lfg. 1: 1181–1184, ed. Johann Friedrich Böhmer, Katrin Baaken, Ulrich Schmidt, Köln 2003.;;;http://nbn-resolving.de/urn:nbn:de:bvb:12-bsb00009298-4 ;;;;;;
Böhmer-Baaken-Schmidt,_RI_IV,4,4,2;Böhmer/Baaken/Schmidt, RI IV,4,4,2;;;;;Regesta Imperii IV. Lothar III. und ältere Staufer 1125–1197, 4. Abt.: Papstregesten 1124–1198, Tl. 4, Lfg. 2: 1184–1185, ed. Johann Friedrich Böhmer, Katrin Baaken, Ulrich Schmidt, Köln 2006.;;;http://www.regesta-imperii.de/fileadmin/user_upload/downloads/RI_IV_4_4_2_ms.pdf ;;;;;;
Böhmer-Fees,_RI_I,2,1;Böhmer/Fees, RI I,2,1;;;;;Regesta Imperii I. Die Regesten des Kaiserreichs unter den Karolingern 751–918 (987), Bd. 2: Die Regesten des Westfrankenreichs und Aquitaniens, Tl. 1: Die Regesten Karls des Kahlen 840 (823)–877, Lfg. 1: 840 (823)–848, ed. Johann Friedrich Böhmer, Irmgard Fees, Köln 2007.;;;http://www.regesta-imperii.de/fileadmin/user_upload/downloads/RI_I_2_1_ms.pdf ;;;;;;
Böhmer-Frech,_RI_III,5,2;Böhmer/Frech, RI III,5,2;;;;;Regesta Imperii III. Salisches Haus 1024–1125, 5. Abt.: Papstregesten 1024–1058. Lfg. 2: 1046–1058, ed. Johann Friedrich Böhmer, Karl Augustin Frech, Köln 2011.;;;http://www.regesta-imperii.de/fileadmin/user_upload/downloads/RI_III_5_2_ms.pdf ;;;;;;
Böhmer-Herbers,_RI_I,4,2,1;Böhmer/Herbers, RI I,4,2,1;;;;;Regesta Imperii I. Die Regesten des Kaiserreichs unter den Karolingern 751–918 (926/962), Bd. 4: Papstregesten, 800–911, Tl. 2: 844–872, Lfg. 1: 844–858, ed. Johann Friedrich Böhmer, Klaus Herbers, Köln 1999.;;;http://nbn-resolving.de/urn:nbn:de:bvb:12-bsb00009232-4 ;;;;;;
Böhmer-Herbers,_RI_I,4,2,2;Böhmer/Herbers, RI I,4,2,2;;;;;Regesta Imperii I. Die Regesten des Kaiserreichs unter den Karolingern 751–918 (926/962), Bd. 4: Papstregesten, 800–911, Tl. 2: 844–872, Lfg. 2: 858–867, ed. Johann Friedrich Böhmer, Klaus Herbers, Wien, Köln, Weimar 2012.;;;http://www.regesta-imperii.de/fileadmin/user_upload/downloads/RI_I_4_2_2.pdf ;;;;;;
Böhmer-Herbers,_RI_I,4,2,3;Böhmer/Herbers, RI I,4,2,3;;;;;Regesta Imperii I. Die Regesten des Kaiserreichs unter den Karolingern 751–918 (926/962), Bd. 4: Papstregesten, 800–911, Tl. 2: 844–872, Lfg. 3: 867–872, ed. Johann Friedrich Böhmer, Klaus Herbers, Köln, Weimar, Wien 2021.;;;http://www.regesta-imperii.de/fileadmin/user_upload/downloads/RI_I_4_2_3.pdf ;;;;;;
